zone_id,date,predicted_risk_level,actual_outcome
loc_134,2026-05-23,moderate,moderate
loc_134,2026-08-17,moderate,none
loc_135,2025-03-08,high,moderate
loc_135,2025-06-30,moderate,minor
loc_135,2026-01-03,moderate,minor
loc_135,2026-03-15,moderate,minor
loc_135,2026-04-22,high,moderate
loc_135,2026-07-10,high,severe
loc_135,2026-08-09,severe,moderate
loc_136,2024-10-14,moderate,severe
loc_136,2024-10-20,low,moderate
loc_136,2024-11-24,severe,minor
loc_136,2025-06-20,low,minor
loc_136,2026-07-12,high,moderate
loc_137,2025-03-10,moderate,minor
loc_137,2025-04-18,low,moderate
loc_137,2025-04-27,severe,none
loc_137,2025-07-02,moderate,minor
loc_137,2025-11-02,severe,moderate
loc_137,2026-02-04,moderate,none
loc_137,2026-02-07,moderate,none
loc_137,2026-07-07,severe,severe
loc_138,2024-09-29,high,severe
loc_138,2025-08-16,low,moderate
loc_138,2025-11-05,low,minor
loc_138,2026-03-02,severe,none
loc_138,2026-07-27,high,severe
loc_139,2024-09-13,high,severe
loc_139,2025-04-13,low,none
loc_139,2025-05-11,high,moderate
loc_139,2025-06-10,moderate,minor
loc_139,2025-08-09,moderate,none
loc_139,2025-09-17,moderate,severe
loc_139,2025-09-28,moderate,minor
loc_139,2026-08-08,moderate,none
loc_140,2024-09-14,high,severe
loc_140,2024-10-30,high,severe
loc_140,2024-12-02,low,none
loc_140,2026-01-24,low,minor
loc_140,2026-07-10,high,none
loc_141,2024-09-27,low,moderate
loc_141,2024-11-08,high,severe
loc_141,2025-04-02,moderate,severe
loc_141,2026-01-29,low,none
loc_141,2026-03-06,moderate,severe
loc_141,2026-05-22,low,moderate
loc_141,2026-06-12,moderate,moderate
